PATROL Agent,Monitor Type,Device Name,Monitor Instance,Attribute,Severity,Duration (mins),Threshold Condition,Threshold Value,UOM,Outside Baseline,Auto Close,Predict,Min Sampling Window (mins),Baseline Type,Absolute Deviation,% Deviation,Suppress Events,Threshold Type,CMA created?
hst00000:3181,NT_CACHE,hst00000,Cache,CACcachCopyReadHitsPercent,Critical,0,>,1,%,Not Enabled,TRUE,FALSE,,,,,FALSE,ABSOLUTE,FALSE
hst00000:3181,NT_CPU,hst00000,_Total,CPUprcrProcessorTimePercent,Minor,0,>,1,%,Not Enabled,TRUE,FALSE,,,,,FALSE,ABSOLUTE,FALSE
hst00000:3181,NT_HEALTH,hst00000,Health At A Glance,MemoryUsage,Major,0,>,1,% of Memory Used,Not Enabled,TRUE,FALSE,,,,,FALSE,ABSOLUTE,FALSE
hst00000:3181,NT_LOGICAL_DISKS_CONTAINER,hst00000,Logical Disks,LDStatus,Major,5,>,1,0=OK;1=Instance Deleted;,Hourly Baseline,TRUE,TRUE,,,,,FALSE,ABSOLUTE,FALSE
hst00001:3181,NT_CACHE,hst00001,Cache,CACcachCopyReadHitsPercent,Critical,0,>,0,%,Not Enabled,TRUE,FALSE,,,,,FALSE,ABSOLUTE,FALSE
hst00001:3181,NT_CPU,hst00001,_Total,CPUprcrProcessorTimePercent,Minor,0,>,0,%,Not Enabled,TRUE,FALSE,,,,,FALSE,ABSOLUTE,FALSE
hst00001:3181,NT_HEALTH,hst00001,Health At A Glance,MemoryUsage,Major,0,>,0,% of Memory Used,Not Enabled,TRUE,FALSE,,,,,FALSE,ABSOLUTE,FALSE
hst00001:3181,NT_LOGICAL_DISKS_CONTAINER,hst00001,Logical Disks,LDStatus,Major,5,>,0,0=OK;1=Instance Deleted;,Hourly Baseline,TRUE,TRUE,,,,,FALSE,ABSOLUTE,FALSE
hst00002:3181,NT_CACHE,hst00002,Cache,CACcachCopyReadHitsPercent,Critical,0,>,0,%,Not Enabled,TRUE,FALSE,,,,,FALSE,ABSOLUTE,FALSE
hst00002:3181,NT_CPU,hst00002,_Total,CPUprcrProcessorTimePercent,Minor,0,>,0,%,Not Enabled,TRUE,FALSE,,,,,FALSE,ABSOLUTE,FALSE
hst00002:3181,NT_HEALTH,hst00002,Health At A Glance,MemoryUsage,Major,0,>,0,% of Memory Used,Not Enabled,TRUE,FALSE,,,,,FALSE,ABSOLUTE,FALSE
hst00002:3181,NT_LOGICAL_DISKS_CONTAINER,hst00002,Logical Disks,LDStatus,Major,5,>,0,0=OK;1=Instance Deleted;,Hourly Baseline,TRUE,TRUE,,,,,FALSE,ABSOLUTE,FALSE
hst00003:3181,NT_CACHE,hst00003,Cache,CACcachCopyReadHitsPercent,Critical,0,>,0,%,Not Enabled,TRUE,FALSE,,,,,FALSE,ABSOLUTE,FALSE
hst00003:3181,NT_CPU,hst00003,_Total,CPUprcrProcessorTimePercent,Minor,0,>,0,%,Not Enabled,TRUE,FALSE,,,,,FALSE,ABSOLUTE,FALSE
