PATROL Agent,Monitor Type,Device Name,Monitor Instance,Attribute,Severity,Duration (mins),Threshold Condition,Threshold Value,UOM,Outside Baseline,Auto Close,Predict,Min Sampling Window (mins),Baseline Type,Absolute Deviation,% Deviation,Suppress Events,Threshold Type,CMA created?
auzur2k8dc7pd:3181,AGENT_CONN_INFO,auzur2k8dc7pd,/AGENT_CONN_INFO,INSTANCE_COUNT,Minor,5,<,5,#,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pd:3181,APM_EUEM_MAIN_APM_EUEM_WATCHPOINT,auzur2k8dc7pd,/APM_EUEM_MAIN/APM_EUEM_WATCHPOINT,TOTALREQUESTS,Major,5,<=,10,#,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pd:3181,APM_EUEM_MAIN_APM_EUEM_WATCHPOINT,auzur2k8dc7pd,/APM_EUEM_MAIN/APM_EUEM_WATCHPOINT,NETWORKTIMENORM,Minor,0,>,1000,ms,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pd:3181,APM_EUEM_MAIN_APM_EUEM_WATCHPOINT,auzur2k8dc7pd,/APM_EUEM_MAIN/APM_EUEM_WATCHPOINT,NETWORKTIMENORM,Major,0,>,1500,ms,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pd:3181,APM_EUEM_MAIN_APM_EUEM_WATCHPOINT,auzur2k8dc7pd,/APM_EUEM_MAIN/APM_EUEM_WATCHPOINT,ERRORCOUNT,Minor,0,>,25,#,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pd:3181,APM_EUEM_MAIN_APM_EUEM_WATCHPOINT,auzur2k8dc7pd,/APM_EUEM_MAIN/APM_EUEM_WATCHPOINT,E2ETIMENORM,Minor,0,>,2000,ms,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pd:3181,APM_EUEM_MAIN_APM_EUEM_WATCHPOINT,auzur2k8dc7pd,/APM_EUEM_MAIN/APM_EUEM_WATCHPOINT,TOTALREQUESTS,Minor,0,>,800,#,Auto Baseline,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pd:3181,INET_SERVICES_INET_SERVERS_INET_WEB_SERVER,auzur2k8dc7pd,/INET_Services/INET_Servers/INET_Web_Server,httpStatus,Critical,15,>=,2,0=OK^~1=WARN^~2=ALARM,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pc.ms.zurich.com.au:3181,INET_SERVICES_INET_SERVERS_INET_WEB_SERVER,auzur2k8dc7pc.ms.zurich.com.au,/INET_Services/INET_Servers/INET_Web_Server,MainCertDaysLeft,Minor,5,<,0,Days,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pc.ms.zurich.com.au:3181,INET_SERVICES_INET_SERVERS_INET_WEB_SERVER,auzur2k8dc7pc.ms.zurich.com.au,/INET_Services/INET_Servers/INET_Web_Server,MainCertDaysLeft,Major,5,<,0,Days,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pc.ms.zurich.com.au:3181,INET_SERVICES_INET_SERVERS_INET_WEB_SERVER,auzur2k8dc7pc.ms.zurich.com.au,/INET_Services/INET_Servers/INET_Web_Server,MainCertDaysLeft,Critical,5,<,0,Days,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pc.ms.zurich.com.au:3181,INET_SERVICES_INET_SERVERS_INET_WEB_SERVER,auzur2k8dc7pc.ms.zurich.com.au,/INET_Services/INET_Servers/INET_Web_Server,certDaysLeft,Minor,5,<,0,Days,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pc.ms.zurich.com.au:3181,INET_SERVICES_INET_SERVERS_INET_WEB_SERVER,auzur2k8dc7pc.ms.zurich.com.au,/INET_Services/INET_Servers/INET_Web_Server,certDaysLeft,Major,5,<,0,Days,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pc.ms.zurich.com.au:3181,INET_SERVICES_INET_SERVERS_INET_WEB_SERVER,auzur2k8dc7pc.ms.zurich.com.au,/INET_Services/INET_Servers/INET_Web_Server,certDaysLeft,Critical,5,<,0,Days,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pd:3181,INET_SERVICES_INET_SERVERS_INET_WEB_SERVER,auzur2k8dc7pd,/INET_Services/INET_Servers/INET_Web_Server,httpStatus,Critical,10,>=,2,0=OK^~1=WARN^~2=ALARM,Auto Baseline,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pd:3181,INET_SERVICES_INET_SERVERS_INET_WEB_SERVER,auzur2k8dc7pd,/INET_Services/INET_Servers/INET_Web_Server,certDaysLeft,Minor,0,==,30,Days,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pd:3181,INET_SERVICES_INET_SERVERS_INET_WEB_SERVER,auzur2k8dc7pd,/INET_Services/INET_Servers/INET_Web_Server,MainCertDaysLeft,Minor,5,<,0,Days,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pd:3181,INET_SERVICES_INET_SERVERS_INET_WEB_SERVER,auzur2k8dc7pd,/INET_Services/INET_Servers/INET_Web_Server,MainCertDaysLeft,Major,5,<,0,Days,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pd:3181,INET_SERVICES_INET_SERVERS_INET_WEB_SERVER,auzur2k8dc7pd,/INET_Services/INET_Servers/INET_Web_Server,MainCertDaysLeft,Critical,5,<,0,Days,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pd:3181,INET_SERVICES_INET_SERVERS_INET_WEB_SERVER,auzur2k8dc7pd,/INET_Services/INET_Servers/INET_Web_Server,certDaysLeft,Major,0,==,15,Days,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pd:3181,INET_SERVICES_INET_SERVERS_INET_WEB_SERVER,auzur2k8dc7pd,/INET_Services/INET_Servers/INET_Web_Server,certDaysLeft,Critical,0,==,10,Days,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pc.ms.zurich.com.au:3181,INET_SERVICES_INET_SERVERS_INET_WEB_SERVER,auzur2k8dc7pc.ms.zurich.com.au,/INET_Services/INET_Servers/INET_Web_Server,MainCertDaysLeft,Minor,5,<,0,Days,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pc.ms.zurich.com.au:3181,INET_SERVICES_INET_SERVERS_INET_WEB_SERVER,auzur2k8dc7pc.ms.zurich.com.au,/INET_Services/INET_Servers/INET_Web_Server,MainCertDaysLeft,Major,5,<,0,Days,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pc.ms.zurich.com.au:3181,INET_SERVICES_INET_SERVERS_INET_WEB_SERVER,auzur2k8dc7pc.ms.zurich.com.au,/INET_Services/INET_Servers/INET_Web_Server,MainCertDaysLeft,Critical,5,<,0,Days,Not Enabled,true,false,,,,,false,ABSOLUTE,false
auzur2k8dc7pc.ms.zurich.com.au:3181,INET_SERVICES_INET_SERVERS_INET_WEB_SERVER,auzur2k8dc7pc.ms.zurich.com.au,/INET_Services/INET_Servers/INET_Web_Server,MainCertDaysLeft,Minor,5,<,0,Days,Not Enabled,true,false,,,,,false,ABSOLUTE,false
